n_2DEG,Total Mobility,Remote Impurity Mobility,Dislocation Mobility,Background Impurity Mobility,Alloy Disorder Mobility,Optical Phonon Mobility,Interface Roughness Mobility,Remote Barrier Mobility
2.469423842384238592e+18,7.243499748104861169e+01,7.980156079726997375e+10,1.099941432715584934e+08,5.673479537734313011e+08,7.386706214186860109e+01,8.932468292012561035e+10,3.896022582539354062e+03,9.120178376830856723e+04
2.469723772377238016e+18,7.243205353619697462e+01,7.981609998324124146e+10,1.100136965572451502e+08,5.674513198896814585e+08,7.386407182404418847e+01,8.932468292012561035e+10,3.895794215164894467e+03,9.121839998084715626e+04
2.470023702370236928e+18,7.242911006481146785e+01,7.983064005207846069e+10,1.100332509819749594e+08,5.675546922826535702e+08,7.386108199038302757e+01,8.932468292012561035e+10,3.895565887847276372e+03,9.123501720237538393e+04
2.470323632363236352e+18,7.242616706675920568e+01,7.984518100372810364e+10,1.100528065456795394e+08,5.676580709519667625e+08,7.385809264074788416e+01,8.932468292012561035e+10,3.895337600574821863e+03,9.125163543283216131e+04
2.470623562356235776e+18,7.242322454190745873e+01,7.985972283813653564e+10,1.100723632482884824e+08,5.677614558972402811e+08,7.385510377500166612e+01,8.932468292012561035e+10,3.895109353335858486e+03,9.126825467215605022e+04
2.470923492349235200e+18,7.242028249012348340e+01,7.987426555525027466e+10,1.100919210897382051e+08,5.678648471180925369e+08,7.385211539300729555e+01,8.932468292012561035e+10,3.894881146118721972e+03,9.128487492028601991e+04
2.471223422342234112e+18,7.241734091127469242e+01,7.988880915501554871e+10,1.101114800699591190e+08,5.679682446141431332e+08,7.384912749462783665e+01,8.932468292012561035e+10,3.894652978911741229e+03,9.130149617716063221e+04
2.471523352335233536e+18,7.241439980522842745e+01,7.990335363737901306e+10,1.101310401888820678e+08,5.680716483850110769e+08,7.384614007972626837e+01,8.932468292012561035e+10,3.894424851703265176e+03,9.131811844271887094e+04
2.471823282328232960e+18,7.241145917185214387e+01,7.991789900228698730e+10,1.101506014464409053e+08,5.681750584303157330e+08,7.384315314816572595e+01,8.932468292012561035e+10,3.894196764481639093e+03,9.133474171689939976e+04
2.472123212321232384e+18,7.240851901101341070e+01,7.993244524968595886e+10,1.101701638425682038e+08,5.682784747496763468e+08,7.384016669980941572e+01,8.932468292012561035e+10,3.893968717235211443e+03,9.135136599964110064e+04
2.472423142314231296e+18,7.240557932257971174e+01,7.994699237952232361e+10,1.101897273771988004e+08,5.683818973427120447e+08,7.383718073452048714e+01,8.932468292012561035e+10,3.893740709952339785e+03,9.136799129088266636e+04
2.472723072307230720e+18,7.240264010641870129e+01,7.996154039174266052e+10,1.102092920502590686e+08,5.684853262090426683e+08,7.383419525216227441e+01,8.932468292012561035e+10,3.893512742621384405e+03,9.138461759056305164e+04
2.473023002300230144e+18,7.239970136239806209e+01,7.997608928629342651e+10,1.102288578616866469e+08,5.685887613482877016e+08,7.383121025259811177e+01,8.932468292012561035e+10,3.893284815230711956e+03,9.140124489862105111e+04
2.473322932293229568e+18,7.239676309038542001e+01,7.999063906312104797e+10,1.102484248114103675e+08,5.686922027600666285e+08,7.382822573569131919e+01,8.932468292012561035e+10,3.893056927768692276e+03,9.141787321499547397e+04
2.473622862286228480e+18,7.239382529024861412e+01,8.000518972217207336e+10,1.102679928993634731e+08,5.687956504439989328e+08,7.382524170130535879e+01,8.932468292012561035e+10,3.892829080223697929e+03,9.143450253962527495e+04
2.473922792279227904e+18,7.239088796185551189e+01,8.001974126339311218e+10,1.102875621254802942e+08,5.688991043997046947e+08,7.382225814930382057e+01,8.932468292012561035e+10,3.892601272584111939e+03,9.145113287244929234e+04
2.474222722272227328e+18,7.238795110507389552e+01,8.003429368673049927e+10,1.103071324896911830e+08,5.690025646268037558e+08,7.381927507955012402e+01,8.932468292012561035e+10,3.892373504838315512e+03,9.146776421340630623e+04
2.474522652265226752e+18,7.238501471977173196e+01,8.004884699213093567e+10,1.103267039919309765e+08,5.691060311249155998e+08,7.381629249190794440e+01,8.932468292012561035e+10,3.892145776974696219e+03,9.148439656243534409e+04
2.474822582258225664e+18,7.238207880581704501e+01,8.006340117954083252e+10,1.103462766321297884e+08,5.692095038936601877e+08,7.381331038624097118e+01,8.932468292012561035e+10,3.891918088981655274e+03,9.150102991947522969e+04
2.475122512251225088e+18,7.237914336307777319e+01,8.007795624890681458e+10,1.103658504102196246e+08,5.693129829326580763e+08,7.381032876241283702e+01,8.932468292012561035e+10,3.891690440847581613e+03,9.151766428446496138e+04
2.475422442244224512e+18,7.237620839142209661e+01,8.009251220017541504e+10,1.103854253261367977e+08,5.694164682415288687e+08,7.380734762028737350e+01,8.932468292012561035e+10,3.891462832560886454e+03,9.153429965734337748e+04
2.475722372237223936e+18,7.237327389071809591e+01,8.010706903329327393e+10,1.104050013798083216e+08,5.695199598198928833e+08,7.380436695972841221e+01,8.932468292012561035e+10,3.891235264109974196e+03,9.155093603804946179e+04
2.476022302230222848e+18,7.237033986083400805e+01,8.012162674820684814e+10,1.104245785711704046e+08,5.696234576673699617e+08,7.380138678059982738e+01,8.932468292012561035e+10,3.891007735483256511e+03,9.156757342652215448e+04
2.476322232223222272e+18,7.236740630163801313e+01,8.013618534486283875e+10,1.104441569001540095e+08,5.697269617835811377e+08,7.379840708276550743e+01,8.932468292012561035e+10,3.890780246669150529e+03,9.158421182270038116e+04
2.476622162216221696e+18,7.236447321299844759e+01,8.015074482320782471e+10,1.104637363666929007e+08,5.698304721681462526e+08,7.379542786608949712e+01,8.932468292012561035e+10,3.890552797656080656e+03,9.160085122652324208e+04
2.476922092209221120e+18,7.236154059478366207e+01,8.016530518318836975e+10,1.104833169707186073e+08,5.699339888206858635e+08,7.379244913043582699e+01,8.932468292012561035e+10,3.890325388432471300e+03,9.161749163792956097e+04
2.477222022202220032e+18,7.235860844686207827e+01,8.017986642475106812e+10,1.105028987121644169e+08,5.700375117408201694e+08,7.378947087566862706e+01,8.932468292012561035e+10,3.890098018986754596e+03,9.163413305685836531e+04
