n_2DEG,Total Mobility,Remote Impurity Mobility,Dislocation Mobility,Background Impurity Mobility,Alloy Disorder Mobility,Optical Phonon Mobility,Interface Roughness Mobility,Remote Barrier Mobility
2.433732173217321984e+18,7.278896403748126431e+01,7.807771685327474976e+10,1.076754546507380605e+08,5.550923120982637405e+08,7.422663342632203864e+01,7.676378553837390655e+02,3.923487711039222631e+03,8.923167640374257462e+04
2.434032103210320896e+18,7.278596276839515156e+01,7.809215059262066650e+10,1.076948719032174945e+08,5.551949285433733463e+08,7.422358447884234067e+01,7.676364902689156224e+02,3.923254492134681186e+03,8.924817210585217981e+04
2.434332033203320320e+18,7.278296198897038494e+01,7.810658522128202820e+10,1.077142903028896600e+08,5.552975513110574484e+08,7.422053603225752738e+01,7.676351254904792540e+02,3.923021314711228115e+03,8.926466882432234706e+04
2.434631963196319744e+18,7.277996169906769808e+01,7.812102073920411682e+10,1.077337098496849090e+08,5.554001804009264708e+08,7.421748808642362860e+01,7.676337610483055869e+02,3.922788178756597063e+03,8.928116655909043038e+04
2.434931893189319168e+18,7.277696189854775355e+01,7.813545714633206177e+10,1.077531305435302407e+08,5.555028158125908375e+08,7.421444064119670259e+01,7.676323969422703613e+02,3.922555084258532133e+03,8.929766531009379833e+04
2.435231823182318080e+18,7.277396258727135603e+01,7.814989444261112976e+10,1.077725523843600452e+08,5.556054575456609726e+08,7.421139369643286443e+01,7.676310331722494311e+02,3.922322031204786072e+03,8.931416507726986310e+04
2.435531753175317504e+18,7.277096376509933862e+01,7.816433262798657227e+10,1.077919753721034825e+08,5.557081055997481346e+08,7.420834725198831450e+01,7.676296697381187641e+02,3.922089019583111622e+03,8.933066586055609514e+04
2.435831683168316928e+18,7.276796543189260547e+01,7.817877170240364075e+10,1.078113995066915452e+08,5.558107599744627476e+08,7.420530130771930999e+01,7.676283066397538732e+02,3.921856049381268349e+03,8.934716765988989209e+04
2.436131613161316352e+18,7.276496758751213179e+01,7.819321166580754089e+10,1.078308247880574316e+08,5.559134206694158316e+08,7.420225586348216495e+01,7.676269438770314082e+02,3.921623120587019457e+03,8.936367047520860797e+04
2.436431543154315264e+18,7.276197023181889278e+01,7.820765251814358521e+10,1.078502512161275595e+08,5.560160876842180490e+08,7.419921091913320765e+01,7.676255814498268819e+02,3.921390233188134971e+03,8.938017430644984415e+04
2.436731473147314688e+18,7.275897336467397736e+01,7.822209425935714722e+10,1.078696787908375114e+08,5.561187610184805393e+08,7.419616647452889424e+01,7.676242193580163757e+02,3.921157387172393555e+03,8.939667915355104196e+04
2.437031403140314112e+18,7.275597698593847440e+01,7.823653688939338684e+10,1.078891075121156275e+08,5.562214406718145609e+08,7.419312252952569509e+01,7.676228576014761984e+02,3.920924582527566145e+03,8.941318501644959906e+04
2.437331333133313536e+18,7.275298109547358649e+01,7.825098040819766235e+10,1.079085373798928708e+08,5.563241266438311338e+08,7.419007908398015161e+01,7.676214961800828860e+02,3.920691819241448229e+03,8.942969189508307318e+04
2.437631263126312448e+18,7.274998569314055885e+01,7.826542481571528625e+10,1.079279683941004872e+08,5.564268189341411591e+08,7.418703613774889050e+01,7.676201350937121788e+02,3.920459097301822567e+03,8.944619978938892018e+04
2.437931193119311872e+18,7.274699077880067932e+01,7.827987011189155579e+10,1.079474005546693504e+08,5.565295175423562527e+08,7.418399369068856686e+01,7.676187743422408403e+02,3.920226416696482374e+03,8.946270869930465415e+04
2.438231123112311296e+18,7.274399635231522154e+01,7.829431629667187500e+10,1.079668338615306467e+08,5.566322224680876732e+08,7.418095174265583580e+01,7.676174139255449518e+02,3.919993777413232692e+03,8.947921862476789101e+04
2.438531053105310720e+18,7.274100241354567231e+01,7.830876337000157166e+10,1.079862683146145940e+08,5.567349337109470367e+08,7.417791029350755139e+01,7.676160538435012768e+02,3.919761179439876742e+03,8.949572956571608665e+04
2.438830983098310144e+18,7.273800896235347579e+01,7.832321133182589722e+10,1.080057039138535559e+08,5.568376512705456018e+08,7.417486934310052504e+01,7.676146940959860103e+02,3.919528622764219108e+03,8.951224152208676969e+04
2.439130913091309056e+18,7.273501599860011879e+01,7.833766018209030151e+10,1.080251406591759175e+08,5.569403751464947462e+08,7.417182889129165346e+01,7.676133346828765980e+02,3.919296107374083931e+03,8.952875449381755607e+04
2.439430843084308480e+18,7.273202352214717337e+01,7.835210992074018860e+10,1.080445785505167097e+08,5.570431053384066820e+08,7.416878893793786176e+01,7.676119756040486664e+02,3.919063633257284891e+03,8.954526848084597441e+04
2.439730773077307904e+18,7.272903153285629685e+01,7.836656054772091675e+10,1.080640175878014863e+08,5.571458418458926678e+08,7.416574948289620295e+01,7.676106168593790926e+02,3.918831200401646583e+03,8.956178348310961155e+04
2.440030703070307328e+18,7.272604003058913236e+01,7.838101206297784424e+10,1.080834577709666491e+08,5.572485846685645580e+08,7.416271052602373004e+01,7.676092584487452086e+02,3.918598808795002242e+03,8.957829950054612709e+04
2.440330633063306240e+18,7.272304901520746512e+01,7.839546446645635986e+10,1.081028990999419391e+08,5.573513338060343266e+08,7.415967206717759552e+01,7.676079003720236642e+02,3.918366458425187830e+03,8.959481653309299145e+04
2.440630563056305664e+18,7.272005848657302352e+01,7.840991775810194397e+10,1.081223415746564418e+08,5.574540892579138279e+08,7.415663410621492346e+01,7.676065426290909954e+02,3.918134149280035217e+03,8.961133458068799519e+04
2.440930493049305088e+18,7.271706844454773488e+01,7.842437193786001587e+10,1.081417851950406879e+08,5.575568510238151550e+08,7.415359664299303688e+01,7.676051852198243068e+02,3.917901881347396284e+03,8.962785364326860872e+04
2.441230423042304512e+18,7.271407888899344130e+01,7.843882700567597961e+10,1.081612299610276967e+08,5.576596191033501625e+08,7.415055967736918774e+01,7.676038281441005893e+02,3.917669654615121090e+03,8.964437372077254986e+04
2.441530353035303424e+18,7.271108981977214114e+01,7.845328296149526978e+10,1.081806758725499213e+08,5.577623934961311817e+08,7.414752320920077011e+01,7.676024714017972883e+02,3.917437469071058331e+03,8.966089481313743454e+04
2.441830283028302848e+18,7.270810123674583281e+01,7.846773980526332092e+10,1.082001229295345843e+08,5.578651742017703056e+08,7.414448723834520649e+01,7.676011149927912811e+02,3.917205324703074893e+03,8.967741692030093691e+04
2.442130213021302272e+18,7.270511313977659995e+01,7.848219753692573547e+10,1.082195711319163293e+08,5.579679612198799849e+08,7.414145176465994780e+01,7.675997589169597859e+02,3.916973221499034935e+03,8.969394004220084753e+04
2.442430143014301696e+18,7.270212552872655465e+01,7.849665615642785645e+10,1.082390204796236455e+08,5.580707545500725508e+08,7.413841678800254442e+01,7.675984031741797935e+02,3.916741159446800793e+03,8.971046417877465137e+04
2.442730073007300608e+18,7.269913840345790845e+01,7.851111566371514893e+10,1.082584709725884199e+08,5.581735541919600964e+08,7.413538230823061781e+01,7.675970477643292043e+02,3.916509138534258000e+03,8.972698932996021176e+04
2.443030003000300032e+18,7.269615176383288713e+01,7.852557605873320007e+10,1.082779226107429117e+08,5.582763601451555490e+08,7.413234832520178941e+01,7.675956926872846680e+02,3.916277158749277078e+03,8.974351549569511553e+04
2.443329932993299456e+18,7.269316560971377328e+01,7.854003734142747498e+10,1.082973753940175921e+08,5.583791724092713594e+08,7.412931483877379435e+01,7.675943379429241986e+02,3.916045220079748560e+03,8.976004267591709504e+04
2.443629862986298880e+18,7.269017994096293478e+01,7.855449951174349976e+10,1.083168293223446161e+08,5.584819909839200974e+08,7.412628184880438198e+01,7.675929835311251281e+02,3.915813322513559797e+03,8.977657087056399905e+04
2.443929792979297792e+18,7.268719475744278213e+01,7.856896256962677002e+10,1.083362843956506699e+08,5.585848158687142134e+08,7.412324935515140112e+01,7.675916294517651295e+02,3.915581466038609051e+03,8.979310007957344351e+04
2.444229722972297216e+18,7.268421005901575427e+01,7.858342651502285767e+10,1.083557406138728112e+08,5.586876470632671118e+08,7.412021735767274322e+01,7.675902757047216483e+02,3.915349650642791858e+03,8.980963030288323353e+04
2.444529652965296640e+18,7.268122584554438959e+01,7.859789134787728882e+10,1.083751979769393951e+08,5.587904845671911240e+08,7.411718585622634237e+01,7.675889222898721300e+02,3.915117876314013756e+03,8.982616154043115966e+04
2.444829582958296064e+18,7.267824211689129754e+01,7.861235706813562012e+10,1.083946564847825021e+08,5.588933283800995350e+08,7.411415485067021791e+01,7.675875692070949299e+02,3.914886143040186198e+03,8.984269379215502704e+04
2.445129512951294976e+18,7.267525887291901654e+01,7.862682367574337769e+10,1.084141161373324692e+08,5.589961785016047955e+08,7.411112434086240341e+01,7.675862164562674934e+02,3.914654450809222908e+03,8.985922705799248070e+04
2.445429442944294400e+18,7.267227611349029814e+01,7.864129117064628601e+10,1.084335769345192611e+08,5.590990349313205481e+08,7.410809432666104613e+01,7.675848640372676073e+02,3.914422799609042158e+03,8.987576133788147126e+04
2.445729372937293824e+18,7.266929383846787971e+01,7.865575955278970337e+10,1.084530388762778044e+08,5.592018976688598394e+08,7.410506480792432171e+01,7.675835119499732855e+02,3.914191189427569498e+03,8.989229663175964379e+04
2.446029302930293248e+18,7.266631204771451280e+01,7.867022882211940002e+10,1.084725019625382870e+08,5.593047667138357162e+08,7.410203578451043427e+01,7.675821601942624284e+02,3.913959620252736386e+03,8.990883293956502166e+04
2.446329232923292160e+18,7.266333074109310530e+01,7.868469897858090210e+10,1.084919661932295710e+08,5.594076420658613443e+08,7.409900725627772999e+01,7.675808087700132774e+02,3.913728092072476556e+03,8.992537026123530813e+04
2.446629162916291584e+18,7.266034991846652247e+01,7.869917002211985779e+10,1.085114315682844669e+08,5.595105237245504856e+08,7.409597922308449824e+01,7.675794576771036191e+02,3.913496604874728291e+03,8.994190859670841019e+04
2.446929092909291008e+18,7.265736957969772902e+01,7.871364195268188477e+10,1.085308980876338333e+08,5.596134116895161867e+08,7.409295168478921312e+01,7.675781069154120360e+02,3.913265158647435783e+03,8.995844794592216203e+04
2.447229022902290432e+18,7.265438972464978917e+01,7.872811477021264648e+10,1.085503657512098402e+08,5.597163059603720903e+08,7.408992464125032029e+01,7.675767564848165421e+02,3.913033753378551410e+03,8.997498830881447066e+04
2.447528952895289344e+18,7.265141035318571028e+01,7.874258847465771484e+10,1.085698345589440465e+08,5.598192065367316008e+08,7.408689809232632228e+01,7.675754063851951514e+02,3.912802389056022548e+03,8.999152968532312661e+04
