n_2DEG,Total Mobility,Remote Impurity Mobility,Dislocation Mobility,Background Impurity Mobility,Alloy Disorder Mobility,Optical Phonon Mobility,Interface Roughness Mobility,Remote Barrier Mobility,Alloy Disorder Barrier Penetration,Alloy Disorder Only Channel
7.869369369369369600e+17,1.028163540497634045e+02,1.435581410374655914e+10,2.102101096747655421e+07,1.020624368137798011e+08,1.044787588850064708e+02,8.932468292012561035e+10,6.631415472464707818e+03,2.563538232811886119e+05,2.912295847877583667e+19,1.044787588850064566e+02
7.879279279279279360e+17,1.027731205971534223e+02,1.438294009001527596e+10,2.105880894633050635e+07,1.022552885907361656e+08,1.044349389100744787e+02,8.932468292012561035e+10,6.627772895213637639e+03,2.568382158931298763e+05,2.912295847877583667e+19,1.044349389100744787e+02
7.889189189189189120e+17,1.027299591805490593e+02,1.441008314007023811e+10,2.109662859549792483e+07,1.024482616824150532e+08,1.043911923578116614e+02,8.932468292012561035e+10,6.624136052538490731e+03,2.573229132155398838e+05,2.912295847877583667e+19,1.043911923578116614e+02
7.899099099099098880e+17,1.026868695906933766e+02,1.443724324319083977e+10,2.113446990184374154e+07,1.026413560125985593e+08,1.043475190131970010e+02,8.932468292012561035e+10,6.620504930587186209e+03,2.578079150569793128e+05,2.912295847877583667e+19,1.043475190131970010e+02
7.909009009009008640e+17,1.026438516191943933e+02,1.446442038867663574e+10,2.117233285225831717e+07,1.028345715052121133e+08,1.043039186621079324e+02,8.932468292012561035e+10,6.616879515546429502e+03,2.582932212263685360e+05,2.912295847877583667e+19,1.043039186621079324e+02
7.918918918918918400e+17,1.026009050585206239e+02,1.449161456584734535e+10,2.121021743365512043e+07,1.030279080843242407e+08,1.042603910913154692e+02,8.932468292012561035e+10,6.613259793641664146e+03,2.587788315329884645e+05,2.912295847877583667e+19,1.042603910913154550e+02
7.928828828828829440e+17,1.025580297019963609e+02,1.451882576404270744e+10,2.124812363297246024e+07,1.032213656741460860e+08,1.042169360884793008e+02,8.932468292012561035e+10,6.609645751136988110e+03,2.592647457864769094e+05,2.912295847877583667e+19,1.042169360884793008e+02
7.938738738738739200e+17,1.025152253437971410e+02,1.454605397262245560e+10,2.128605143717201427e+07,1.034149441990308315e+08,1.041735534421431311e+02,8.932468292012561035e+10,6.606037374335110144e+03,2.597509637968296593e+05,2.912295847877583667e+19,1.041735534421431311e+02
7.948648648648648960e+17,1.024724917789452121e+02,1.457329918096626091e+10,2.132400083323997632e+07,1.036086435834733844e+08,1.041302429417296906e+02,8.932468292012561035e+10,6.602434649577257005e+03,2.602374853743975400e+05,2.912295847877583667e+19,1.041302429417296906e+02
7.958558558558558720e+17,1.024298288033050284e+02,1.460056137847364616e+10,2.136197180818607286e+07,1.038024637521099448e+08,1.040870043775361751e+02,8.932468292012561035e+10,6.598837563243132536e+03,2.607243103298866481e+05,2.912295847877583667e+19,1.040870043775361751e+02
